"","RF","BPCA","QRILC","GSIMP","RHM","RMEAN","RMEDIAN","RMIN","RZERO","RRF","RGSIMP","RQRILC","RBPCA","min","halfmin","mean","median"
"upper",0.380792131221352,0.113768827954726,0.0697255875060016,0.0375121810116973,0.817183226302744,0.842433987584021,0.968349851160732,0.708441096148074,0.935958607985345,0.740547093340974,0.929321132197689,0.935958607985345,0.675613420478422,1.18739433973868,0.414574362776457,0.793629044386674,0.716502671166001
"mean",0.0836116327825314,0.0319941524053126,0.0207044827887863,0.000873655625408076,0.345381653136549,0.599405987638234,0.561540789198584,0.440238150167505,0.241786164897257,0.587362191170115,0.250648443277208,0.241786164897257,0.556830714814024,0.196836706618548,0.0512865300713009,0.439425457607857,0.419897740048733
"lower",-0.21356886565629,-0.0497805231441009,-0.0283166219284289,-0.0357648697608811,-0.126419920029646,0.356377987692446,0.154731727236436,0.172035204186936,-0.452386278190832,0.434177288999255,-0.428024245643272,-0.452386278190832,0.438048009149626,-0.793720926501582,-0.312001302633856,0.0852218708290402,0.123292808931465
